Date,Open,High,Low,Close,Adj Close,Volume
1/4/2016,102.610001,105.370003,102,105.349998,98.446655,67649400
1/5/2016,105.75,105.849998,102.410004,102.709999,95.979675,55791000
1/6/2016,100.559998,102.370003,99.870003,100.699997,94.101387,68457400
1/7/2016,98.68,100.129997,96.43,96.449997,90.129868,81094400
1/8/2016,98.550003,99.110001,96.760002,96.959999,90.606438,70798000
1/11/2016,98.970001,99.059998,97.339996,98.529999,92.073563,49739400
1/12/2016,100.550003,100.690002,98.839996,99.959999,93.409874,49154200
1/13/2016,100.32,101.190002,97.300003,97.389999,91.00827,62439600
1/14/2016,97.959999,100.480003,95.739998,99.519997,92.998695,63170100
1/15/2016,96.199997,97.709999,95.360001,97.129997,90.765305,79833900
1/19/2016,98.410004,98.650002,95.5,96.660004,90.326103,53087700
1/20/2016,95.099998,98.190002,93.419998,96.790001,90.447578,72334400
1/21/2016,97.059998,97.879997,94.940002,96.300003,89.9897,52161500
1/22/2016,98.629997,101.459999,98.370003,101.419998,94.7742,65800500
1/25/2016,101.519997,101.529999,99.209999,99.440002,92.923958,51794500
1/26/2016,99.93,100.879997,98.07,99.989998,93.437889,75077000
1/27/2016,96.040001,96.629997,93.339996,93.419998,87.298416,133369700
1/28/2016,93.790001,94.519997,92.389999,94.089996,87.9245,55678800
1/29/2016,94.790001,97.339996,94.349998,97.339996,90.961533,64416500
2/1/2016,96.470001,96.709999,95.400002,96.43,90.111168,40943500
2/2/2016,95.419998,96.040001,94.279999,94.480003,88.288963,37357200
2/3/2016,95,96.839996,94.080002,96.349998,90.036423,45964300
2/4/2016,95.860001,97.330002,95.190002,96.599998,90.759865,46471700
2/5/2016,96.519997,96.919998,93.690002,94.019997,88.335838,46418100
2/8/2016,93.129997,95.699997,93.040001,95.010002,89.266014,54021400
2/9/2016,94.290001,95.940002,93.93,94.989998,89.247223,44331200
2/10/2016,95.919998,96.349998,94.099998,94.269997,88.570732,42343600
2/11/2016,93.790001,94.720001,92.589996,93.699997,88.035179,50074700
2/12/2016,94.190002,94.5,93.010002,93.989998,88.307655,40351400
2/16/2016,95.019997,96.849998,94.610001,96.639999,90.79744,49057900
2/17/2016,96.669998,98.209999,96.150002,98.120003,92.187965,44863200
2/18/2016,98.839996,98.889999,96.089996,96.260002,90.44043,39021000
2/19/2016,96,96.760002,95.800003,96.040001,90.233719,35374200
2/22/2016,96.309998,96.900002,95.919998,96.879997,91.022934,34280800
2/23/2016,96.400002,96.5,94.550003,94.690002,88.965324,31942600
2/24/2016,93.980003,96.379997,93.32,96.099998,90.290085,36255700
2/25/2016,96.050003,96.760002,95.25,96.760002,90.910202,27582700
2/26/2016,97.199997,98.019997,96.580002,96.910004,91.051132,28991100
2/29/2016,96.860001,98.230003,96.650002,96.690002,90.844444,35216300
3/1/2016,97.650002,100.769997,97.419998,100.529999,94.452271,50407100
3/2/2016,100.510002,100.889999,99.639999,100.75,94.658974,33169600
3/3/2016,100.580002,101.709999,100.449997,101.5,95.36364,36955700
3/4/2016,102.370003,103.75,101.370003,103.010002,96.782341,46055100
3/7/2016,102.389999,102.830002,100.959999,101.870003,95.711258,35828900
3/8/2016,100.779999,101.760002,100.400002,101.029999,94.92205,31561900
3/9/2016,101.309998,101.580002,100.269997,101.120003,95.006615,27201700
3/10/2016,101.410004,102.239998,100.150002,101.169998,95.053589,33513600
3/11/2016,102.239998,102.279999,101.5,102.260002,96.077667,27408200
3/14/2016,101.910004,102.910004,101.779999,102.519997,96.32196,25076100
3/15/2016,103.959999,105.18,103.849998,104.580002,98.257431,40067700
3/16/2016,104.610001,106.309998,104.589996,105.970001,99.563393,38303500
3/17/2016,105.519997,106.470001,104.959999,105.800003,99.403671,34420700
3/18/2016,106.339996,106.5,105.190002,105.919998,99.516403,44205200
3/21/2016,105.93,107.650002,105.139999,105.910004,99.507019,35502700
3/22/2016,105.25,107.290001,105.209999,106.720001,100.268051,32444400
3/23/2016,106.480003,107.07,105.900002,106.129997,99.713692,25703500
3/24/2016,105.470001,106.25,104.889999,105.669998,99.281532,26133000
3/28/2016,106,106.190002,105.059998,105.190002,98.830544,19411400
3/29/2016,104.889999,107.790001,104.879997,107.68,101.170006,31190100
3/30/2016,108.650002,110.419998,108.599998,109.559998,102.936356,45601100
3/31/2016,109.720001,109.900002,108.879997,108.989998,102.400795,25888400
4/1/2016,108.779999,110,108.199997,109.989998,103.340347,25874000
4/4/2016,110.419998,112.190002,110.269997,111.120003,104.402031,37356200
4/5/2016,109.510002,110.730003,109.419998,109.809998,103.171249,26578700
